"region","physical_pc","virtual_pc","instructions"
"ROME","0xec1241","0x6241","183"
"ROME","0xeb751e","0x851e","180"
"ROME","0xeb7522","0x8522","180"
"ROME","0xeb48c7","0x58c7","176"
"ROME","0xea802a","0xd02a","174"
"ROME","0xeb48e2","0x58e2","160"
"ROME","0xeb7870","0x8870","153"
"ROME","0xeb13dd","0x63dd","147"
"ROME","0xeb9753","0x6753","144"
"ROME","0xeaa651","0xf651","138"
"ROME","0xeb619c","0x719c","138"
"ROME","0xeb61a3","0x71a3","138"
"ROME","0xea8bcd","0xdbcd","120"
"ROME","0xeb74ea","0x84ea","120"
"ROME","0xec02e7","0x52e7","120"
"ROME","0xec37af","0x87af","113"
"ROME","0xeb5c76","0x6c76","112"
"ROME","0xeb6a9c","0x7a9c","112"
"ROME","0xec11fa","0x61fa","111"
"ROME","0xec2ec6","0x7ec6","106"
"ROME","0xeaa664","0xf664","99"
"ROME","0xeb9a50","0x6a50","98"
"ROME","0xeb9a7e","0x6a7e","98"
"ROME","0xeb9aac","0x6aac","98"
"ROME","0xeb9ada","0x6ada","98"
"ROME","0xed5120","0x6120","96"
"ROME","0xeaa457","0xf457","95"
"ROME","0xeb62d5","0x72d5","92"
"ROME","0xeb9ca6","0x6ca6","90"
"ROME","0xea8025","0xd025","84"
"ROME","0xeb5a0d","0x6a0d","84"
"ROME","0xeb5a14","0x6a14","84"
"ROME","0xeb695c","0x795c","84"
"ROME","0xeb6963","0x7963","84"
"ROME","0xeb69e5","0x79e5","72"
"ROME","0xeb7868","0x8868","68"
"ROME","0xed5056","0x6056","68"
"ROME","0xeaa655","0xf655","66"
"ROME","0xec0d14","0x5d14","66"
"ROME","0xed64a2","0x74a2","64"
"ROME","0xed64ae","0x74ae","64"
"ROME","0xeb130d","0x630d","63"
"ROME","0xea9901","0xe901","61"
"ROME","0xeaa5e6","0xf5e6","61"
"ROME","0xeaa625","0xf625","60"
"ROME","0xeaa689","0xf689","58"
"ROME","0xec0d53","0x5d53","58"
"ROME","0xeb144b","0x644b","57"
"ROME","0xeb5c52","0x6c52","56"
"ROME","0xeb6a74","0x7a74","56"
"ROME","0xeb6a78","0x7a78","56"
"ROME","0xec0b57","0x5b57","56"
"ROME","0xec1c79","0x6c79","56"
"ROME","0xeaa5e8","0xf5e8","54"
"ROME","0xed513f","0x613f","54"
"ROME","0xec142a","0x642a","51"
"ROME","0xec14ea","0x64ea","51"
"ROME","0xeb6263","0x7263","48"
"ROME","0xeb75d3","0x85d3","48"
"ROME","0xeb9784","0x6784","48"
"ROME","0xeb62d9","0x72d9","46"
"ROME","0xea8bed","0xdbed","45"
"ROME","0xeb6303","0x7303","45"
"ROME","0xeb1178","0x6178","44"
"ROME","0xeaa604","0xf604","42"
"ROME","0xeb73aa","0x83aa","42"
"ROME","0xec0b30","0x5b30","42"
"ROME","0xec0e05","0x5e05","42"
"ROME","0xec1cd4","0x6cd4","42"
"ROME","0xea8010","0xd010","40"
"ROME","0xebeab0","0x7ab0","39"
"ROME","0xec2dc0","0x7dc0","39"
"ROME","0xec1b30","0x6b30","35"
"ROME","0xec1b73","0x6b73","34"
"ROME","0xec1413","0x6413","33"
"ROME","0xec16d7","0x66d7","33"
"ROME","0xeb13a6","0x63a6","32"
"ROME","0xeb6866","0x7866","32"
"ROME","0xed64aa","0x74aa","32"
"ROME","0xeb7360","0x8360","30"
"ROME","0xeb73bc","0x83bc","30"
"ROME","0xeb9a42","0x6a42","30"
"ROME","0xeb9a70","0x6a70","30"
